,PlayerName,ESPNWidereceiverRating,LongReception,YardReceivingPlays,ReceivingFirstDowns,ReceivingFumbles,ReceivingFumblesLost,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsAfterCatch,ReceivingYardsAtCatch,ReceivingYardsPerGame,Receptions,TeamGamesPlayed,TotalOffensivePlays,TotalPointsPerGame,TotalTouchdowns,TotalYards,TotalYardsFromScrimmage,TwoPointReceivingConversion,TwoPointReceptions,TwoPointReceptionAttempts,YardsFromScrimmagePerGame,YardsPerGame,YardsPerReception
52,Brandin Cooks,1089.0,44.0,13.0,29.0,0.0,0.0,93.0,3.0,699.0,205.0,494.0,53.769229888916016,57.0,17.0,2.0,1.384615421295166,3.0,706.0,706.0,-1.0,0.0,0.0,54.30769348144531,54.30769348144531,12.262999534606934
53,Mack Hollins,1115.0,60.0,9.0,34.0,0.0,0.0,94.0,4.0,690.0,196.0,494.0,40.588233947753906,57.0,17.0,5.0,1.4117647409439087,4.0,734.0,730.0,-1.0,0.0,0.0,42.94117736816406,43.17647171020508,12.104999542236328
54,Marquez Valdes-Scantling,967.0,57.0,13.0,32.0,0.0,0.0,81.0,2.0,687.0,149.0,538.0,40.411766052246094,42.0,17.0,1.0,0.7058823704719543,2.0,684.0,684.0,-1.0,0.0,0.0,40.235294342041016,40.235294342041016,16.35700035095215
55,Curtis Samuel,1116.0,49.0,10.0,36.0,0.0,0.0,92.0,4.0,656.0,289.0,367.0,38.588233947753906,64.0,17.0,38.0,1.7647058963775635,5.0,843.0,843.0,-1.0,0.0,1.0,49.588233947753906,49.588233947753906,10.25
56,K.J. Osborn,1125.0,66.0,6.0,32.0,1.0,0.0,90.0,5.0,650.0,300.0,350.0,38.235294342041016,60.0,17.0,3.0,1.7647058963775635,5.0,656.0,656.0,-1.0,0.0,0.0,38.588233947753906,38.588233947753906,10.833000183105469
57,Deebo Samuel,982.0,57.0,7.0,25.0,0.0,0.0,94.0,2.0,632.0,493.0,139.0,48.61538314819336,56.0,17.0,42.0,2.307692289352417,5.0,864.0,864.0,-1.0,0.0,0.0,66.46154022216797,66.46154022216797,11.28600025177002
58,David Njoku,1058.0,38.0,8.0,36.0,1.0,1.0,80.0,4.0,628.0,338.0,290.0,44.85714340209961,58.0,17.0,2.0,1.7142857313156128,4.0,620.0,620.0,-1.0,0.0,0.0,44.28571319580078,44.28571319580078,10.82800006866455
59,Parris Campbell,1043.0,49.0,7.0,32.0,1.0,0.0,91.0,3.0,623.0,276.0,347.0,36.64706039428711,63.0,17.0,5.0,1.058823585510254,3.0,681.0,681.0,-1.0,0.0,1.0,40.05882263183594,40.05882263183594,9.888999938964844
60,Tyler Higbee,1085.0,26.0,4.0,32.0,0.0,0.0,108.0,3.0,620.0,404.0,216.0,36.47058868408203,72.0,17.0,0.0,1.058823585510254,3.0,620.0,620.0,-1.0,0.0,0.0,36.47058868408203,36.47058868408203,8.611000061035156
61,Kalif Raymond,851.0,56.0,10.0,24.0,1.0,1.0,64.0,0.0,616.0,218.0,398.0,36.235294342041016,47.0,17.0,7.0,0.0,0.0,652.0,652.0,-1.0,0.0,0.0,38.35293960571289,38.35293960571289,13.105999946594238
62,Christian Watson,1061.0,63.0,8.0,28.0,0.0,0.0,66.0,7.0,611.0,276.0,335.0,43.64285659790039,41.0,17.0,7.0,3.857142925262451,9.0,691.0,691.0,-1.0,0.0,0.0,49.35714340209961,49.35714340209961,14.902000427246094
63,Alec Pierce,868.0,47.0,8.0,28.0,1.0,0.0,78.0,2.0,593.0,113.0,480.0,37.0625,41.0,17.0,0.0,0.75,2.0,593.0,593.0,-1.0,0.0,0.0,37.0625,37.0625,14.463000297546387
64,Dalton Schultz,1037.0,30.0,5.0,27.0,1.0,1.0,89.0,5.0,577.0,204.0,373.0,38.46666717529297,57.0,17.0,0.0,2.0,5.0,577.0,577.0,-1.0,0.0,0.0,38.46666717529297,38.46666717529297,10.123000144958496
65,Richie James,994.0,33.0,3.0,29.0,0.0,0.0,70.0,4.0,569.0,176.0,393.0,33.47058868408203,57.0,17.0,2.0,1.4117647409439087,4.0,575.0,575.0,-1.0,0.0,0.0,33.82352828979492,33.82352828979492,9.982000350952148
66,Noah Brown,875.0,51.0,6.0,25.0,1.0,1.0,74.0,3.0,555.0,128.0,427.0,34.6875,43.0,17.0,0.0,1.125,3.0,555.0,555.0,-1.0,0.0,1.0,34.6875,34.6875,12.906999588012695
67,Gerald Everett,985.0,26.0,4.0,29.0,0.0,0.0,87.0,4.0,555.0,326.0,229.0,34.6875,58.0,17.0,1.0,1.5,4.0,555.0,555.0,-1.0,1.0,1.0,34.6875,34.6875,9.569000244140625
68,Tyler Conklin,947.0,30.0,6.0,25.0,2.0,0.0,87.0,3.0,552.0,291.0,261.0,32.47058868408203,58.0,17.0,2.0,1.058823585510254,3.0,555.0,555.0,-1.0,0.0,0.0,32.64706039428711,32.64706039428711,9.517000198364258
69,Chris Moore,858.0,52.0,9.0,24.0,0.0,0.0,74.0,2.0,548.0,263.0,285.0,34.25,48.0,17.0,3.0,0.75,2.0,551.0,551.0,-1.0,0.0,0.0,34.4375,34.4375,11.416999816894531
70,Cole Kmet,1039.0,50.0,6.0,27.0,1.0,0.0,69.0,7.0,544.0,286.0,258.0,32.0,50.0,17.0,2.0,2.470588207244873,7.0,553.0,553.0,-1.0,0.0,1.0,32.52941131591797,32.52941131591797,10.880000114440918
71,DeVante Parker,799.0,43.0,10.0,25.0,0.0,0.0,47.0,3.0,539.0,105.0,434.0,41.46154022216797,31.0,17.0,0.0,1.384615421295166,3.0,539.0,539.0,-1.0,0.0,0.0,41.46154022216797,41.46154022216797,17.386999130249023
72,DeAndre Carter,873.0,35.0,10.0,29.0,1.0,1.0,65.0,3.0,538.0,206.0,332.0,31.647058486938477,46.0,17.0,2.0,1.058823585510254,3.0,523.0,523.0,-1.0,0.0,0.0,30.764705657958984,30.764705657958984,11.696000099182129
73,Corey Davis,766.0,66.0,7.0,28.0,0.0,0.0,64.0,2.0,536.0,109.0,427.0,41.230770111083984,32.0,17.0,0.0,0.9230769276618958,2.0,536.0,536.0,-1.0,0.0,0.0,41.230770111083984,41.230770111083984,16.75
