,PlayerName,Position,assistTackles,avgInterceptionYards,avgSackYards,avgStuffYards,blockedFieldGoalTouchdowns,blockedPuntTouchdowns,hurries,kicksBlocked,longInterception,miscTouchdowns,passesBattedDown,passesDefended,QBHits,twoPtReturns,sacks,sackYards,safeties,soloTackles,stuffs,stuffYards,tacklesForLoss,tacklesYardsLost,teamGamesPlayed,totalTackles,yardsAllowed,pointsAllowed
175,Jermaine Johnson,DE,0.0,5.599999904632568,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.5,14.0,1.0,18.0,5.0,5.0,3.0,18.0,17.0,29.0,0.0,0.0,0.0
176,Al Woods,DT,0.0,3.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,6.0,0.0,27.0,8.5,7.0,5.0,13.0,17.0,39.0,0.0,0.0,0.0
177,Lawrence Guy,DE,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,18.0,0.0,18.0,3.5,2.0,3.0,14.0,17.0,46.0,0.0,0.0,0.0
178,Jadeveon Clowney,DE,0.0,8.5,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,17.0,0.0,14.0,8.0,13.0,4.0,12.0,17.0,28.0,0.0,0.0,0.0
179,Shelby Harris,DE,0.0,8.5,2.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2.0,17.0,0.0,24.0,9.0,8.0,5.0,18.0,17.0,44.0,0.0,0.0,0.0
180,DaQuan Jones,DT,0.0,7.25,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,14.5,0.0,22.0,7.5,8.0,3.0,7.0,16.0,38.0,0.0,0.0,0.0
181,Rakeem Nunez-Roches,DT,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,18.0,0.0,19.0,7.5,6.0,5.0,24.0,17.0,33.0,0.0,0.0,0.0
182,Eric Rowe,CB,0.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,7.0,0.0,42.0,2.0,6.0,4.0,9.0,17.0,56.0,0.0,0.0,0.0
183,Josh Tupou,DT,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,20.0,0.0,8.0,0.5,0.0,2.0,20.0,16.0,19.0,0.0,0.0,0.0
184,Romeo Okwara,LB,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,16.0,0.0,3.0,1.0,0.0,2.0,16.0,17.0,8.0,0.0,0.0,0.0
185,Tanoh Kpassagnon,DE,0.0,6.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,13.0,0.0,15.0,5.0,7.0,3.0,12.0,17.0,28.0,0.0,0.0,0.0
186,Tyus Bowser,LB,0.0,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,8.0,0.0,8.0,4.0,3.0,3.0,8.0,17.0,13.0,0.0,0.0,0.0
187,Damien Wilson,LB,0.0,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,12.0,0.0,23.0,3.0,3.0,4.0,13.0,17.0,38.0,0.0,0.0,0.0
188,Randy Gregory,LB,0.0,8.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,17.0,0.0,7.0,1.0,4.0,2.0,12.0,17.0,12.0,0.0,0.0,0.0
189,Jayron Kearse,S,2.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,2.0,12.0,0.0,55.0,5.0,10.0,7.0,21.0,17.0,77.0,0.0,0.0,0.0
190,Jalen Ramsey,CB,13.25,8.5,1.3329999446868896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,2.0,0.0,2.0,17.0,0.0,64.0,4.5,4.0,4.0,11.0,17.0,88.0,0.0,0.0,0.0
191,Sebastian Joseph-Day,DT,4.0,8.0,1.7139999866485596,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,16.0,1.0,27.0,11.0,12.0,9.0,26.0,17.0,56.0,0.0,0.0,0.0
192,Foyesade Oluokun,LB,0.0,6.0,1.7000000476837158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,2.0,12.0,0.0,128.0,18.5,17.0,12.0,26.0,17.0,184.0,0.0,0.0,0.0
193,Daniel Ekuale,DT,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,14.0,0.0,10.0,1.5,0.0,2.0,14.0,17.0,14.0,0.0,0.0,0.0
194,Jordan Willis,DE,0.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,6.0,3.5,5.0,3.0,5.0,17.0,12.0,0.0,0.0,0.0
195,T.J. Edwards,LB,0.0,1.5,2.555999994277954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,3.0,0.0,99.0,6.5,23.0,10.0,21.0,17.0,159.0,0.0,0.0,0.0
196,Oshane Ximines,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
197,Terrell Edmunds,S,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,18.0,0.0,41.0,5.5,2.0,3.0,20.0,17.0,70.0,0.0,0.0,0.0
198,Rashaan Evans,LB,0.0,8.5,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,17.0,0.0,86.0,8.0,13.0,6.0,30.0,17.0,159.0,0.0,0.0,0.0
199,Fred Warner,LB,20.0,7.25,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,6.0,0.0,2.0,14.5,0.0,79.0,8.0,4.0,3.0,24.0,17.0,130.0,0.0,0.0,0.0
200,Clelin Ferrell,DE,0.0,7.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,15.5,0.0,8.0,2.0,8.0,3.0,19.0,17.0,26.0,0.0,0.0,0.0
201,Shy Tuttle,DT,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,5.5,0.0,26.0,3.0,0.0,1.0,1.0,17.0,49.0,0.0,0.0,0.0
