,PlayerName,Position,assistTackles,avgInterceptionYards,avgSackYards,avgStuffYards,blockedFieldGoalTouchdowns,blockedPuntTouchdowns,hurries,kicksBlocked,longInterception,miscTouchdowns,passesBattedDown,passesDefended,QBHits,twoPtReturns,sacks,sackYards,safeties,soloTackles,stuffs,stuffYards,tacklesForLoss,tacklesYardsLost,teamGamesPlayed,totalTackles,yardsAllowed,pointsAllowed
160,Damarri Mathis,CB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,54.0,0.5,1.0,1.0,1.0,17.0,65.0,0.0,0.0,0.0
161,Micah Parsons,LB,0.0,6.556000232696533,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,13.5,88.5,0.0,42.0,4.0,7.0,13.0,66.0,17.0,65.0,0.0,0.0,0.0
162,Dylan Cole,LB,0.0,9.0,1.3329999446868896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,42.0,6.0,4.0,4.0,11.0,17.0,64.0,0.0,0.0,0.0
163,Daron Payne,DT,0.0,7.086999893188477,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,11.5,81.5,1.0,32.0,8.0,14.0,18.0,85.0,17.0,64.0,0.0,0.0,0.0
164,Jack Sanborn,LB,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,8.0,0.0,50.0,3.5,6.0,5.0,9.0,17.0,64.0,0.0,0.0,0.0
165,Jordan Poyer,S,1.5,0.0,2.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,11.0,4.0,11.0,16.0,63.0,0.0,0.0,0.0
166,Keanu Neal,S,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,0.5,4.0,0.0,41.0,4.0,2.0,2.0,1.0,17.0,63.0,0.0,0.0,0.0
167,E.J. Speed,LB,0.0,7.0,1.4290000200271606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,0.0,37.0,10.0,10.0,7.0,9.0,17.0,63.0,0.0,0.0,0.0
168,Brian Burns,DE,0.0,6.639999866485596,3.1670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,12.5,83.0,0.0,34.0,12.5,19.0,17.0,98.0,17.0,63.0,0.0,0.0,0.0
169,Alex Highsmith,LB,0.0,8.137999534606934,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,14.5,118.0,0.0,38.0,6.5,21.0,12.0,91.0,17.0,63.0,0.0,0.0,0.0
170,Michael Carter II,CB,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,6.0,3.0,4.0,17.0,63.0,0.0,0.0,0.0
171,Tariq Woolen,CB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
172,Martin Emerson Jr.,CB,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,7.0,0.0,51.0,0.5,0.0,1.0,7.0,17.0,63.0,0.0,0.0,0.0
173,Andrew Adams,S,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,15.0,62.0,0.0,0.0,0.0
174,Michael Davis,CB,30.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,1.0,6.0,0.0,48.0,2.5,1.0,2.0,6.0,17.0,62.0,0.0,0.0,0.0
175,Davon Godchaux,DT,0.0,5.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,7.5,0.0,25.0,3.5,3.0,3.0,4.0,17.0,62.0,0.0,0.0,0.0
176,Malik Hooker,S,9.666999816894531,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,4.0,2.0,1.0,17.0,62.0,0.0,0.0,0.0
177,Nasir Adderley,S,15.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,39.0,2.5,4.0,1.0,4.0,17.0,62.0,0.0,0.0,0.0
178,Kyle Hamilton,S,0.0,7.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,15.0,0.0,46.0,3.5,6.0,4.0,20.0,17.0,62.0,0.0,0.0,0.0
179,Tashaun Gipson Sr.,S,28.200000762939453,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.5,2.5,0.0,43.0,2.0,2.0,1.0,2.0,17.0,61.0,0.0,0.0,0.0
180,Joe Thomas,LB,0.0,6.0,1.3329999446868896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,0.0,35.0,4.5,4.0,4.0,10.0,15.0,61.0,0.0,0.0,0.0
181,Grady Jarrett,DE,0.0,8.333000183105469,2.571000099182129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,6.0,50.0,0.0,30.0,7.5,18.0,12.0,57.0,17.0,61.0,0.0,0.0,0.0
182,Marcus Williams,S,8.25,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,6.0,2.0,6.0,17.0,61.0,0.0,0.0,0.0
