,PlayerName,ESPNRBRating,LongRushing,NetTotalYards,NetYardsPerGame,RushingAttempts,YardRushingPlays,Rushing1stdowns,RushingFumbles,RushingFumblesLost,RushingTouchdowns,RushingYards,RushingYardsPerGame,Stuffs,StuffYardsLost,TeamGamesPlayed,TotalOffensivePlays,TotalPointsPerGame,TotalTouchdowns,TotalYards,TotalYardsFromScrimmage,TwoPointRushConversion,TwoPointRush,TwoPointRushAttempts,YardsFromScrimmagePerGame,YardsPerGame,YardsPerRushAttempt
143,Travis Homer,59.0,16.0,74.0,7.400000095367432,19.0,0.0,4.0,0.0,0.0,0.0,74.0,7.400000095367432,1.0,2.0,17.0,19.0,0.6000000238418579,1.0,231.0,231.0,-1.0,0.0,0.0,23.100000381469727,23.100000381469727,3.8949999809265137
144,Jared Goff,13.0,14.0,4355.0,256.1764831542969,29.0,0.0,5.0,3.0,1.0,0.0,73.0,4.294117450714111,0.0,0.0,17.0,639.0,0.0,29.0,4516.0,78.0,-1.0,1.0,1.0,4.588235378265381,265.6470642089844,2.5169999599456787
145,Matt Ryan,30.0,39.0,2840.0,236.6666717529297,27.0,1.0,9.0,4.0,2.0,1.0,70.0,5.833333492279053,2.0,10.0,17.0,526.0,0.5,15.0,3127.0,70.0,-1.0,0.0,0.0,5.833333492279053,260.5833435058594,2.5929999351501465
146,Tyrod Taylor,55.0,32.0,110.0,36.66666793823242,5.0,1.0,5.0,1.0,0.0,0.0,70.0,23.33333396911621,0.0,0.0,17.0,16.0,0.0,1.0,128.0,70.0,-1.0,0.0,0.0,23.33333396911621,42.66666793823242,14.0
147,Ronald Jones,105.0,13.0,70.0,11.666666984558105,17.0,0.0,4.0,0.0,0.0,1.0,70.0,11.666666984558105,1.0,1.0,17.0,17.0,1.0,1.0,92.0,92.0,-1.0,0.0,0.0,15.333333015441895,15.333333015441895,4.118000030517578
148,Steven Sims,70.0,22.0,70.0,5.833333492279053,13.0,1.0,5.0,0.0,0.0,0.0,70.0,5.833333492279053,4.0,12.0,17.0,13.0,0.0,0.0,174.0,174.0,-1.0,0.0,0.0,14.5,14.5,5.385000228881836
149,Tua Tagovailoa,55.0,18.0,3455.0,265.76922607421875,24.0,0.0,4.0,2.0,0.0,0.0,70.0,5.384615421295166,0.0,0.0,17.0,445.0,0.0,25.0,3618.0,70.0,-1.0,0.0,0.0,5.384615421295166,278.30767822265625,2.9170000553131104
150,Zamir White,70.0,22.0,70.0,5.0,17.0,1.0,4.0,0.0,0.0,0.0,70.0,5.0,3.0,10.0,17.0,17.0,0.0,0.0,70.0,70.0,-1.0,0.0,0.0,5.0,5.0,4.118000030517578
151,Trey Lance,67.0,13.0,252.0,126.0,16.0,0.0,7.0,1.0,0.0,0.0,67.0,33.5,0.0,0.0,17.0,49.0,0.0,0.0,261.0,67.0,-1.0,0.0,0.0,33.5,130.5,4.188000202178955
152,Brandon Bolden,66.0,12.0,66.0,4.125,17.0,0.0,3.0,0.0,0.0,0.0,66.0,4.125,0.0,0.0,17.0,17.0,0.375,1.0,123.0,123.0,-1.0,0.0,0.0,7.6875,7.6875,3.881999969482422
153,Laviska Shenault Jr.,100.0,41.0,65.0,5.0,9.0,1.0,1.0,0.0,0.0,1.0,65.0,5.0,0.0,0.0,17.0,9.0,0.9230769276618958,2.0,337.0,337.0,-1.0,0.0,0.0,25.923076629638672,25.923076629638672,7.2220001220703125
154,Darrynton Evans,64.0,21.0,64.0,10.666666984558105,14.0,1.0,3.0,0.0,0.0,0.0,64.0,10.666666984558105,0.0,0.0,8.0,14.0,0.0,0.0,97.0,97.0,-1.0,0.0,0.0,16.16666603088379,16.16666603088379,4.571000099182129
155,Desmond Ridder,34.0,18.0,739.0,184.75,16.0,0.0,4.0,2.0,1.0,0.0,64.0,16.0,0.0,0.0,17.0,140.0,0.0,2.0,772.0,64.0,-1.0,0.0,0.0,16.0,193.0,4.0
156,Salvon Ahmed,99.0,11.0,64.0,5.333333492279053,12.0,0.0,4.0,0.0,0.0,1.0,64.0,5.333333492279053,0.0,0.0,17.0,12.0,0.5,1.0,72.0,72.0,-1.0,0.0,0.0,6.0,6.0,5.333000183105469
157,Trace McSorley,31.0,14.0,446.0,74.33333587646484,15.0,0.0,3.0,1.0,1.0,0.0,61.0,10.166666984558105,1.0,1.0,14.0,101.0,0.0,0.0,473.0,61.0,-1.0,0.0,0.0,10.166666984558105,78.83333587646484,4.066999912261963
158,Keaontay Ingram,95.0,13.0,60.0,5.0,27.0,0.0,4.0,0.0,0.0,1.0,60.0,5.0,4.0,11.0,17.0,27.0,0.5,1.0,81.0,81.0,-1.0,0.0,0.0,6.75,6.75,2.2219998836517334
159,Chase Claypool,44.0,15.0,60.0,4.0,9.0,0.0,3.0,0.0,0.0,0.0,59.0,3.933333396911621,0.0,0.0,17.0,10.0,0.4000000059604645,2.0,511.0,510.0,-1.0,0.0,0.0,34.0,34.06666564941406,6.556000232696533
160,Jordan Wilkins,58.0,9.0,58.0,14.5,13.0,0.0,2.0,0.0,0.0,0.0,58.0,14.5,0.0,0.0,4.0,13.0,0.0,0.0,87.0,87.0,-1.0,0.0,0.0,21.75,21.75,4.461999893188477
161,Parris Campbell,58.0,28.0,58.0,3.411764621734619,5.0,2.0,2.0,0.0,0.0,0.0,58.0,3.411764621734619,0.0,0.0,17.0,5.0,1.058823585510254,3.0,681.0,681.0,-1.0,0.0,0.0,40.05882263183594,40.05882263183594,11.600000381469727
162,Rashid Shaheed,92.0,44.0,57.0,4.75,4.0,1.0,2.0,0.0,0.0,1.0,57.0,4.75,0.0,0.0,12.0,4.0,1.5,3.0,545.0,545.0,-1.0,0.0,0.0,45.41666793823242,45.41666793823242,14.25
163,Anthony Schwartz,77.0,31.0,57.0,5.181818008422852,4.0,1.0,2.0,0.0,0.0,1.0,57.0,5.181818008422852,0.0,0.0,17.0,4.0,0.5454545617103577,1.0,108.0,108.0,-1.0,0.0,0.0,9.818181991577148,9.818181991577148,14.25
164,Corey Clement,90.0,12.0,55.0,6.111111164093018,15.0,0.0,6.0,0.0,0.0,1.0,55.0,6.111111164093018,0.0,0.0,9.0,15.0,0.6666666865348816,1.0,109.0,109.0,-1.0,0.0,0.0,12.11111068725586,12.11111068725586,3.6670000553131104
165,Isaiah McKenzie,90.0,18.0,55.0,3.6666667461395264,9.0,0.0,3.0,0.0,0.0,1.0,55.0,3.6666667461395264,1.0,5.0,16.0,9.0,2.0,5.0,478.0,478.0,-1.0,0.0,1.0,31.866666793823242,31.866666793823242,6.111000061035156
166,C.J. Moore,40.0,42.0,55.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,55.0,5.0,0.0,0.0,11.0,2.0,0.0,0.0,55.0,55.0,-1.0,0.0,0.0,5.0,5.0,27.5
